ID,Name,Height,Weight,Age,Sex,Profession,Salary
2995,Дементьев Зорийй,184.0,82.0,78,м,бухгалтер,235000
2996,Ковалёв Илья,178.0,106.0,38,м,врач,384000
2997,Рожков Самсон,171.0,115.0,29,м,инженер,196000
2998,Дементьев Сидор,180.0,68.0,81,м,продавец,41000
2999,Лыткин Зиновий,181.0,72.0,20,м,бухгалтер,441000
3000,Селезнёв Вениамин,189.0,,89,м,продавец,86000
3001,Кошелев Булат,180.0,90.0,23,м,врач,424000
3002,Николаев Валентин,173.0,101.0,53,м,инженер,451000
3003,Лукин Герман,,88.0,29,м,продавец,294000
3004,Воронцов Модест,,113.0,60,м,сантехник,238000
3005,Павлов Наум,186.0,80.0,83,м,преподаватель,453000
3006,Калашников Осип,188.0,77.0,51,м,бухгалтер,227000
3007,Богданов Вадим,185.0,56.0,77,м,преподаватель,433000
3008,Горбачёв Ян,193.0,71.0,26,м,студент,474000
3009,Королёв Ефрем,169.0,,66,м,бухгалтер,406000
3010,Гурьев Димитрий,169.0,76.0,51,м,продавец,79000
3011,Соболев Никифор,189.0,109.0,27,м,преподаватель,427000
3012,Ковалёв Фаддей,188.0,58.0,28,м,инженер,84000
3013,Богданов Эльдар,188.0,95.0,29,м,инженер,153000
3014,Сидоров Пётр,167.0,63.0,26,м,автослесарь,190000
3015,Капустин Викентий,178.0,56.0,32,м,преподаватель,222000
3016,Евсеев Харитон,176.0,64.0,68,м,инженер,164000
3017,Носков Валерий,,67.0,75,м,студент,452000
3018,Зуев Константин,180.0,105.0,27,м,продавец,207000
3019,Архипов Радик,165.0,52.0,83,м,автослесарь,137000
3020,Мясников Терентий,190.0,105.0,84,м,бухгалтер,420000
3021,Нестеров Владимир,178.0,57.0,52,м,программист,316000
3022,Емельянов Влад,185.0,119.0,38,м,сантехник,42000
3023,Савельев Никон,186.0,81.0,21,м,бухгалтер,99000
3024,Сысоев Тарас,179.0,94.0,52,м,программист,318000
3025,Константинов Ярослав,180.0,91.0,62,м,преподаватель,352000
3026,Федосеев Захар,192.0,65.0,76,м,продавец,415000
3027,Егоров Тимофей,177.0,68.0,47,м,автослесарь,213000
3028,Артемьев Никола,171.0,100.0,71,м,врач,272000
3029,Кудрявцев Олег,173.0,107.0,25,м,программист,177000
3030,Зуев Влад,190.0,80.0,67,м,продавец,118000
3031,Баранов Прохор,179.0,93.0,59,м,врач,299000
3032,Лапин Никита,177.0,87.0,20,м,автослесарь,430000
3033,Волков Платон,182.0,61.0,85,м,студент,105000
3034,Овчинников Макарий,188.0,92.0,67,м,программист,488000
3035,Шарапов Давид,167.0,58.0,63,м,студент,223000
3036,Константинов Евстахий,173.0,80.0,36,м,преподаватель,427000
3037,Орлов Демид,175.0,52.0,67,м,бухгалтер,138000
3038,Гущин Герасим,191.0,50.0,36,м,автослесарь,201000
3039,Константинов Добрыня,177.0,68.0,52,м,инженер,172000
3040,Белозёров Добрыня,170.0,56.0,18,м,продавец,290000
3041,Рожков Станислав,190.0,108.0,43,м,бухгалтер,178000
3042,Панфилов Радомир,176.0,,71,м,бухгалтер,379000
3043,Афанасьев Леонид,165.0,75.0,27,м,врач,95000
3044,Миронов Дамир,165.0,84.0,34,м,продавец,39000
3045,Беспалов Феликс,174.0,86.0,82,м,преподаватель,209000
3046,Шаров Владислав,186.0,97.0,31,м,бухгалтер,48000
3047,Карпов Анисий,175.0,119.0,75,м,бухгалтер,174000
3048,Петров Влас,186.0,67.0,27,м,инженер,188000
3049,Козлов Тарас,192.0,76.0,37,м,автослесарь,202000
3050,Петухов Никола,170.0,66.0,74,м,бухгалтер,126000
3051,Хохлов Моисей,194.0,,83,м,бухгалтер,260000
3052,Вишняков Захар,178.0,85.0,58,м,сантехник,381000
3053,Якушев Макарий,171.0,105.0,82,м,сантехник,250000
3054,Емельянов Зорийй,173.0,117.0,38,м,автослесарь,91000
3055,Гусев Вольдемар,186.0,,89,м,сантехник,474000
3056,Коновалов Эльдар,179.0,63.0,41,м,продавец,329000
3057,Романов Трофим,169.0,92.0,32,м,инженер,103000
3058,Хохлов Серафим,171.0,92.0,80,м,сантехник,398000
3059,Фёдоров Авраам,191.0,83.0,37,м,инженер,144000
3060,Голубев Борислав,184.0,80.0,74,м,автослесарь,128000
3061,Журавлёв Аристарх,191.0,,24,м,инженер,61000
3062,Евсеев Леонтий,191.0,91.0,23,м,бухгалтер,280000
3063,Русаков Влад,171.0,82.0,69,м,врач,372000
3064,Попов Дамир,180.0,94.0,46,м,врач,175000
3065,Нестеров Добрыня,185.0,,57,м,инженер,146000
3066,Попов Харитон,172.0,97.0,82,м,врач,426000
3067,Бобылёв Владислав,194.0,63.0,69,м,программист,200000
3068,Поляков Юлиан,166.0,71.0,18,м,сантехник,20000
3069,Терентьев Никодим,178.0,,88,м,врач,300000
3070,Кошелев Яков,167.0,57.0,22,м,автослесарь,210000
3071,Потапов Кузьма,171.0,103.0,82,м,продавец,306000
3072,Харитонов Гавриил,169.0,70.0,56,м,продавец,93000
3073,Константинов Игнатий,174.0,50.0,22,м,автослесарь,411000
3074,Овчинников Данила,189.0,110.0,18,м,преподаватель,339000
3075,Новиков Еремей,166.0,60.0,79,м,преподаватель,33000
3076,Новиков Лукьян,191.0,110.0,65,м,автослесарь,336000
3077,Туров Вадим,193.0,52.0,72,м,автослесарь,404000
3078,Мишин Моисей,192.0,80.0,49,м,инженер,264000
3079,Хохлов Демид,185.0,87.0,75,м,студент,267000
3080,Зиновьев Вилен,171.0,100.0,67,м,инженер,348000
3081,Ширяев Трофим,184.0,70.0,74,м,студент,306000
3082,Титов Александр,165.0,78.0,40,м,автослесарь,323000
3083,Капустин Иван,182.0,71.0,51,м,продавец,355000
3084,Щербаков Платон,168.0,115.0,68,м,студент,446000
3085,Мясников Егорий,168.0,78.0,77,м,продавец,299000
3086,Сорокин Фома,168.0,54.0,26,м,бухгалтер,336000
3087,Гущин Эрик,,107.0,33,м,бухгалтер,393000
3088,Гришин Иннокентий,175.0,86.0,72,м,автослесарь,100000
3089,Дементьев Филимон,192.0,77.0,71,м,бухгалтер,82000
3090,Фомин Тимур,188.0,,43,м,врач,459000
3091,Лукин Степан,166.0,70.0,48,м,продавец,26000
3092,Петухов Диомид,165.0,76.0,27,м,бухгалтер,259000
3093,Кириллов Семен,177.0,70.0,54,м,сантехник,192000
3094,Щукин Зорийй,193.0,65.0,85,м,инженер,350000
3095,Никитин Евдоким,189.0,102.0,57,м,автослесарь,232000
3096,Орлов Вольдемар,182.0,64.0,36,м,программист,135000
3097,Горбачёв Савва,191.0,66.0,89,м,преподаватель,66000
3098,Якушев Кондрат,170.0,87.0,86,м,врач,208000
3099,Никонов Климент,191.0,115.0,89,м,бухгалтер,144000
3100,Лихачёв Гавриил,,102.0,49,м,продавец,128000
3101,Ефремов Никон,167.0,65.0,39,м,преподаватель,378000
3102,Панов Эдуард,182.0,63.0,70,м,автослесарь,265000
3103,Герасимов Егорий,181.0,56.0,87,м,студент,484000
3104,Жданов Никифор,185.0,69.0,75,м,инженер,396000
3105,Максимов Олег,190.0,116.0,19,м,продавец,413000
3106,Одинцов Дмитрий,183.0,83.0,61,м,студент,215000
3107,Дорофеев Юлиан,178.0,70.0,61,м,продавец,302000
3108,Александров Родион,168.0,110.0,56,м,студент,314000
3109,Панов Аким,183.0,85.0,43,м,инженер,281000
3110,Колобов Кир,174.0,86.0,68,м,студент,445000
3111,Константинов Антоний,190.0,112.0,56,м,бухгалтер,494000
3112,Зуев Владлен,177.0,83.0,47,м,бухгалтер,493000
3113,Новиков Митрофан,183.0,67.0,81,м,врач,487000
3114,Соловьёв Август,180.0,97.0,73,м,продавец,377000
3115,Громов Ростислав,178.0,113.0,54,м,сантехник,198000
3116,Ермаков Евгений,171.0,94.0,83,м,инженер,406000
3117,Селезнёв Аполлон,175.0,80.0,49,м,продавец,395000
3118,Жданов Вольдемар,184.0,,73,м,продавец,155000
3119,Фролов Трофим,187.0,52.0,22,м,инженер,457000
3120,Лебедев Олег,168.0,102.0,44,м,автослесарь,375000
3121,Силин Павел,192.0,105.0,29,м,преподаватель,226000
3122,Никонов Виссарион,177.0,78.0,63,м,инженер,33000
3123,Гущин Валерий,169.0,57.0,18,м,продавец,282000
3124,Копылов Бенедикт,190.0,111.0,80,м,программист,241000
3125,Григорьев Илларион,188.0,97.0,28,м,продавец,262000
3126,Колесников Алексей,168.0,86.0,84,м,бухгалтер,372000
3127,Исаков Юлий,178.0,61.0,21,м,продавец,492000
3128,Панфилов Руслан,167.0,66.0,50,м,преподаватель,321000
3129,Дмитриев Радомир,176.0,89.0,60,м,преподаватель,199000
3130,Корнилов Игнатий,172.0,65.0,84,м,сантехник,236000
3131,Николаев Рустам,194.0,105.0,18,м,автослесарь,348000
3132,Кулагин Григорий,189.0,112.0,55,м,студент,100000
3133,Соболев Филипп,175.0,86.0,62,м,врач,230000
3134,Петров Харитон,187.0,80.0,33,м,автослесарь,75000
3135,Уваров Радомир,165.0,113.0,43,м,сантехник,248000
3136,Никитин Дамир,171.0,103.0,76,м,бухгалтер,280000
3137,Горбунов Аристарх,187.0,82.0,47,м,автослесарь,199000
3138,Овчинников Фёдор,177.0,119.0,74,м,врач,39000
3139,Мельников Назар,188.0,71.0,45,м,врач,29000
3140,Авдеев Платон,185.0,79.0,29,м,студент,193000
3141,Мухин Никон,167.0,84.0,18,м,продавец,125000
3142,Шарапов Семен,183.0,94.0,57,м,сантехник,142000
3143,Воронцов Владислав,171.0,92.0,37,м,преподаватель,410000
3144,Савин Матвей,174.0,67.0,45,м,сантехник,445000
3145,Пономарёв Никифор,188.0,79.0,18,м,сантехник,41000
3146,Селезнёв Егорий,186.0,118.0,65,м,программист,321000
3147,Соболев Глеб,193.0,109.0,36,м,сантехник,211000
3148,Агафонов Марк,168.0,51.0,60,м,преподаватель,185000
3149,Зимин Леонид,189.0,114.0,24,м,программист,365000
3150,Носов Харитон,,84.0,20,м,продавец,190000
3151,Титов Станислав,174.0,119.0,33,м,бухгалтер,235000
3152,Мясников Бронислав,171.0,97.0,61,м,врач,485000
3153,Зимин Севастьян,167.0,95.0,20,м,сантехник,379000
3154,Родионов Платон,,,38,м,студент,214000
3155,Мышкин Евгений,170.0,56.0,88,м,сантехник,463000
3156,Устинов Григорий,180.0,102.0,53,м,врач,136000
3157,Миронов Эрик,179.0,94.0,37,м,программист,282000
3158,Ильин Артур,187.0,80.0,52,м,бухгалтер,14000
3159,Фролов Борис,177.0,60.0,52,м,программист,118000
3160,Петухов Егор,166.0,50.0,84,м,преподаватель,155000
3161,Соловьёв Демид,182.0,66.0,76,м,бухгалтер,314000
3162,Прохоров Казимир,165.0,59.0,38,м,врач,157000
3163,Новиков Викентий,167.0,64.0,54,м,преподаватель,236000
3164,Савельев Яромир,175.0,93.0,70,м,студент,480000
3165,Блинов Федот,,90.0,66,м,инженер,120000
3166,Игнатов Емельян,176.0,97.0,76,м,продавец,134000
3167,Белоусов Добрыня,169.0,59.0,23,м,врач,149000
3168,Нестеров Самсон,191.0,89.0,84,м,студент,345000
3169,Бобылёв Геннадий,177.0,70.0,57,м,продавец,86000
3170,Гришин Артемий,181.0,86.0,43,м,преподаватель,29000
3171,Егоров Анисий,176.0,85.0,38,м,студент,329000
3172,Михайлов Спартак,192.0,50.0,39,м,бухгалтер,156000
3173,Зиновьев Владислав,169.0,102.0,80,м,врач,123000
3174,Евсеев Валентин,180.0,51.0,71,м,студент,368000
3175,Тетерин Денис,190.0,71.0,84,м,врач,176000
3176,Зуев Агафон,181.0,60.0,70,м,преподаватель,444000
3177,Фадеев Арсен,180.0,67.0,67,м,студент,329000
3178,Дорофеев Артемий,192.0,80.0,50,м,автослесарь,125000
3179,Сорокин Роман,178.0,86.0,76,м,автослесарь,438000
3180,Иванов Вячеслав,176.0,71.0,84,м,автослесарь,208000
3181,Кириллов Игорь,175.0,94.0,19,м,продавец,215000
3182,Щукин Мартын,185.0,89.0,48,м,преподаватель,336000
3183,Дорофеев Михаил,181.0,93.0,83,м,программист,148000
3184,Чернов Аполлинарий,168.0,106.0,33,м,продавец,148000
3185,Лукин Матвей,165.0,104.0,66,м,программист,92000
3186,Рогов Юлий,188.0,64.0,89,м,врач,115000
3187,Туров Арсен,177.0,118.0,70,м,преподаватель,138000
3188,Горбунов Семён,194.0,115.0,37,м,студент,313000
3189,Шаров Сидор,184.0,95.0,41,м,автослесарь,139000
3190,Уваров Анисий,188.0,54.0,21,м,сантехник,406000
3191,Моисеев Николай,191.0,89.0,25,м,программист,66000
3192,Симонов Давид,180.0,51.0,89,м,программист,64000
3193,Шашков Денис,176.0,50.0,19,м,преподаватель,128000
3194,Савельев Терентий,193.0,109.0,22,м,студент,67000
3195,Чернов Антоний,177.0,99.0,18,м,студент,483000
3196,Ершов Аполлон,181.0,84.0,26,м,продавец,100000
3197,Крылов Гавриил,177.0,65.0,48,м,продавец,40000
3198,Гущин Платон,189.0,55.0,30,м,автослесарь,364000
3199,Беспалов Назар,191.0,104.0,70,м,сантехник,163000
3200,Нестеров Севастьян,176.0,50.0,27,м,программист,262000
3201,Чернов Бенедикт,171.0,63.0,84,м,студент,118000
3202,Симонов Радослав,166.0,108.0,52,м,преподаватель,163000
3203,Мартынов Назар,190.0,80.0,34,м,программист,291000
3204,Симонов Антон,187.0,77.0,79,м,преподаватель,347000
3205,Пахомов Евстахий,187.0,58.0,78,м,студент,464000
3206,Комаров Прохор,192.0,72.0,81,м,врач,130000
3207,Осипов Тимофей,171.0,66.0,73,м,бухгалтер,36000
3208,Устинов Севастьян,171.0,55.0,26,м,преподаватель,294000
3209,Тихонов Флор,182.0,119.0,19,м,сантехник,409000
3210,Громов Глеб,170.0,71.0,64,м,преподаватель,296000
3211,Горшков Леонтий,182.0,110.0,23,м,студент,14000
3212,Павлов Савелий,177.0,84.0,44,м,инженер,216000
3213,Ситников Эрик,187.0,81.0,46,м,сантехник,90000
3214,Захаров Мартин,183.0,71.0,66,м,врач,389000
3215,Михайлов Григорий,170.0,91.0,31,м,врач,493000
3216,Котов Святослав,190.0,78.0,71,м,автослесарь,82000
3217,Карпов Вениамин,181.0,100.0,34,м,продавец,412000
3218,Агафонов Альберт,170.0,79.0,48,м,преподаватель,15000
3219,Королёв Артемий,173.0,53.0,74,м,бухгалтер,272000
3220,Исаков Мирон,165.0,119.0,75,м,студент,269000
3221,Абрамов Осип,186.0,79.0,60,м,преподаватель,279000
3222,Анисимов Трофим,167.0,112.0,24,м,инженер,67000
3223,Суханов Борис,192.0,100.0,67,м,инженер,365000
3224,Филиппов Радомир,175.0,57.0,82,м,автослесарь,148000
3225,Лазарев Глеб,187.0,119.0,87,м,студент,418000
3226,Зимин Глеб,189.0,106.0,59,м,преподаватель,84000
3227,Третьяков Прохор,188.0,96.0,77,м,сантехник,470000
3228,Павлов Климент,194.0,89.0,83,м,сантехник,245000
3229,Шаров Трофим,192.0,56.0,28,м,студент,201000
3230,Мартынов Егорий,190.0,59.0,43,м,инженер,240000
3231,Дементьев Григорий,193.0,113.0,80,м,сантехник,380000
3232,Носков Богдан,189.0,111.0,55,м,инженер,240000
3233,Орехов Демьян,174.0,103.0,55,м,программист,10000
3234,Шаров Архип,176.0,113.0,60,м,сантехник,23000
3235,Лихачёв Спартак,185.0,62.0,63,м,бухгалтер,77000
3236,Третьяков Филат,167.0,55.0,54,м,сантехник,320000
3237,Соболев Викентий,166.0,109.0,52,м,программист,114000
3238,Лаврентьев Радий,185.0,77.0,38,м,инженер,124000
3239,Лаврентьев Александр,180.0,106.0,72,м,программист,209000
3240,Овчинников Родион,178.0,63.0,64,м,инженер,90000
3241,Ермаков Захар,165.0,57.0,36,м,инженер,257000
3242,Лыткин Анфим,172.0,119.0,81,м,продавец,362000
3243,Сазонов Тихон,183.0,118.0,31,м,врач,242000
3244,Родионов Эрик,170.0,98.0,83,м,врач,53000
3245,Гущин Сергей,173.0,70.0,75,м,автослесарь,108000
3246,Лебедев Иеремия,171.0,83.0,67,м,врач,376000
3247,Бобылёв Аристарх,177.0,91.0,23,м,студент,15000
3248,Терентьев Максим,166.0,111.0,85,м,преподаватель,470000
3249,Рыбаков Ростислав,185.0,91.0,77,м,продавец,81000
3250,Русаков Арсен,178.0,105.0,83,м,бухгалтер,440000
3251,Дьячков Юлиан,171.0,104.0,59,м,программист,28000
3252,Давыдов Влас,,82.0,89,м,продавец,222000
3253,Архипов Владимир,186.0,70.0,20,м,врач,161000
3254,Пахомов Ростислав,171.0,112.0,89,м,автослесарь,76000
3255,Белозёров Иван,187.0,53.0,80,м,продавец,159000
3256,Куликов Иосиф,,66.0,48,м,бухгалтер,243000
3257,Антонов Владимир,166.0,62.0,56,м,преподаватель,467000
3258,Белозёров Леонид,190.0,116.0,42,м,бухгалтер,293000
3259,Емельянов Терентий,177.0,91.0,53,м,бухгалтер,213000
3260,Некрасов Вольдемар,165.0,108.0,18,м,преподаватель,440000
3261,Якушев Виссарион,182.0,86.0,80,м,сантехник,190000
3262,Гаврилов Потап,174.0,73.0,77,м,автослесарь,307000
3263,Колесников Федот,189.0,100.0,54,м,инженер,476000
3264,Ильин Гавриил,184.0,58.0,65,м,врач,42000
3265,Большаков Демьян,182.0,73.0,79,м,бухгалтер,93000
3266,Филатов Серафим,165.0,106.0,31,м,сантехник,233000
3267,Горбачёв Владислав,183.0,87.0,25,м,бухгалтер,250000
3268,Матвеев Касьян,172.0,94.0,41,м,программист,24000
3269,Волков Ефим,173.0,60.0,32,м,сантехник,389000
3270,Соловьёв Владимир,172.0,66.0,36,м,врач,201000
3271,Михайлов Евдоким,188.0,90.0,73,м,программист,262000
3272,Медведев Демьян,186.0,59.0,70,м,бухгалтер,358000
3273,Силин Виссарион,177.0,85.0,68,м,программист,242000
3274,Мартынов Фаддей,170.0,59.0,42,м,бухгалтер,481000
3275,Ермаков Демид,173.0,65.0,84,м,преподаватель,373000
3276,Кудрявцев Лев,174.0,88.0,45,м,автослесарь,489000
3277,Королёв Архип,169.0,81.0,89,м,инженер,193000
3278,Кузьмин Аристарх,175.0,62.0,85,м,студент,192000
3279,Зайцев Тихон,168.0,87.0,51,м,программист,63000
3280,Нестеров Мартин,178.0,111.0,19,м,бухгалтер,423000
3281,Сорокин Владислав,166.0,57.0,69,м,студент,405000
3282,Петухов Сергей,179.0,115.0,79,м,инженер,451000
3283,Ильин Никифор,174.0,67.0,39,м,студент,56000
3284,Архипов Артур,194.0,57.0,78,м,бухгалтер,424000
3285,Аксёнов Платон,168.0,59.0,62,м,сантехник,235000
3286,Кузнецов Ждан,166.0,117.0,21,м,преподаватель,177000
3287,Шестаков Валерий,190.0,88.0,21,м,бухгалтер,74000
3288,Мамонтов Влас,188.0,68.0,88,м,программист,295000
3289,Пахомов Арсентий,194.0,77.0,31,м,продавец,462000
3290,Мишин Вольдемар,192.0,119.0,73,м,продавец,303000
3291,Гордеев Даниил,194.0,117.0,51,м,преподаватель,297000
3292,Фомин Лев,173.0,117.0,19,м,бухгалтер,447000
3293,Иванков Ренат,170.0,82.0,52,м,сантехник,364000
3294,Трофимов Климент,165.0,98.0,49,м,студент,215000
3295,Шубин Трофим,167.0,116.0,61,м,студент,62000
3296,Крюков Димитрий,166.0,70.0,75,м,студент,453000
3297,Казаков Глеб,179.0,72.0,78,м,сантехник,192000
3298,Константинов Эрик,,96.0,51,м,сантехник,59000
3299,Ермаков Клим,187.0,50.0,29,м,инженер,492000
3300,Крылов Осип,191.0,61.0,29,м,программист,112000
3301,Овчинников Болеслав,165.0,82.0,21,м,сантехник,416000
3302,Нестеров Еремей,188.0,55.0,23,м,продавец,450000
3303,Кузнецов Лукьян,179.0,,26,м,инженер,317000
3304,Ситников Леонид,190.0,69.0,73,м,продавец,431000
3305,Воронцов Тарас,191.0,111.0,38,м,программист,360000
3306,Шарапов Фёдор,192.0,86.0,26,м,сантехник,436000
3307,Авдеев Спартак,172.0,50.0,45,м,программист,476000
3308,Тетерин Владимир,193.0,53.0,86,м,преподаватель,174000
3309,Корнилов Эрик,175.0,53.0,25,м,автослесарь,436000
3310,Миронов Арсентий,173.0,,75,м,программист,301000
3311,Денисов Серафим,165.0,89.0,78,м,сантехник,388000
3312,Титов Зорийй,186.0,71.0,21,м,продавец,82000
3313,Силин Святослав,165.0,55.0,50,м,автослесарь,167000
3314,Сафонов Харитон,168.0,79.0,47,м,инженер,18000
3315,Антонов Альберт,176.0,108.0,75,м,сантехник,180000
3316,Устинов Иван,169.0,52.0,27,м,инженер,86000
3317,Носов Терентий,166.0,68.0,65,м,продавец,486000
3318,Ермаков Назар,169.0,109.0,20,м,сантехник,289000
3319,Гуляев Степан,189.0,68.0,45,м,студент,196000
3320,Ефремов Остап,176.0,94.0,62,м,преподаватель,484000
3321,Суханов Филат,172.0,82.0,55,м,бухгалтер,175000
3322,Савельев Клим,176.0,86.0,52,м,продавец,225000
3323,Субботин Иван,186.0,111.0,83,м,инженер,406000
3324,Шарапов Борис,168.0,115.0,26,м,студент,419000
3325,Беляков Фома,184.0,95.0,72,м,сантехник,462000
3326,Быков Станислав,171.0,66.0,42,м,автослесарь,219000
3327,Андреев Анфим,165.0,77.0,20,м,сантехник,351000
3328,Самойлов Максим,191.0,110.0,26,м,автослесарь,260000
3329,Пестов Терентий,182.0,116.0,85,м,врач,219000
3330,Фокин Матвей,186.0,104.0,27,м,врач,75000
3331,Ларионов Климент,185.0,108.0,73,м,студент,179000
3332,Назаров Гавриил,186.0,81.0,41,м,преподаватель,143000
3333,Блохин Макарий,168.0,91.0,71,м,программист,65000
3334,Никонов Бенедикт,192.0,89.0,71,м,студент,163000
3335,Харитонов Максим,181.0,107.0,29,м,преподаватель,343000
3336,Маслов Георгий,,98.0,60,м,бухгалтер,423000
3337,Шилов Вадим,176.0,105.0,56,м,автослесарь,137000
3338,Елисеев Лукьян,193.0,118.0,79,м,студент,278000
3339,Терентьев Еремей,173.0,115.0,45,м,преподаватель,22000
3340,Сазонов Филипп,178.0,67.0,40,м,инженер,207000
3341,Филиппов Данила,170.0,65.0,70,м,преподаватель,254000
3342,Зуев Кузьма,192.0,117.0,47,м,студент,463000
3343,Федотов Лукьян,167.0,103.0,29,м,продавец,332000
3344,Михеев Артём,181.0,114.0,83,м,врач,482000
3345,Абрамов Илья,178.0,55.0,82,м,студент,135000
3346,Рожков Митрофан,,119.0,88,м,студент,478000
3347,Зуев Авраам,194.0,79.0,31,м,врач,380000
3348,Соловьёв Никодим,,63.0,77,м,сантехник,259000
3349,Копылов Егор,188.0,105.0,64,м,врач,19000
3350,Стрелков Терентий,175.0,84.0,76,м,программист,161000
3351,Щукин Трофим,179.0,56.0,75,м,продавец,73000
3352,Лыткин Мирослав,170.0,87.0,38,м,программист,326000
3353,Сорокин Артур,177.0,76.0,51,м,продавец,16000
3354,Муравьёв Ян,190.0,58.0,83,м,бухгалтер,310000
3355,Дьячков Евгений,173.0,59.0,77,м,бухгалтер,195000
3356,Тимофеев Ростислав,190.0,105.0,66,м,инженер,214000
3357,Логинов Никодим,,87.0,46,м,студент,95000
3358,Муравьёв Юлий,191.0,57.0,20,м,автослесарь,241000
3359,Кудрявцев Трофим,178.0,53.0,62,м,преподаватель,459000
3360,Белов Василий,177.0,76.0,46,м,бухгалтер,307000
3361,Устинов Вячеслав,169.0,102.0,53,м,студент,212000
3362,Лобанов Аким,168.0,86.0,70,м,сантехник,75000
3363,Медведев Альберт,170.0,85.0,24,м,бухгалтер,262000
3364,Марков Савва,168.0,85.0,78,м,инженер,244000
3365,Зайцев Булат,171.0,71.0,78,м,инженер,308000
3366,Беляков Модест,187.0,67.0,21,м,инженер,148000
3367,Ларионов Трофим,178.0,107.0,51,м,автослесарь,287000
3368,Одинцов Димитрий,173.0,101.0,65,м,студент,308000
3369,Рябов Потап,192.0,,62,м,автослесарь,437000
3370,Корнилов Евдоким,181.0,103.0,34,м,преподаватель,320000
3371,Игнатьев Фёдор,181.0,108.0,77,м,инженер,143000
3372,Никифоров Вольдемар,183.0,111.0,75,м,преподаватель,257000
3373,Большаков Игорь,189.0,68.0,36,м,студент,266000
3374,Костин Герасим,183.0,,34,м,инженер,149000
3375,Симонов Мартин,178.0,,61,м,продавец,453000
3376,Матвеев Яков,179.0,118.0,75,м,продавец,47000
3377,Лобанов Демьян,178.0,73.0,32,м,инженер,250000
3378,Шестаков Остап,188.0,66.0,56,м,преподаватель,340000
3379,Субботин Влас,179.0,98.0,61,м,бухгалтер,262000
3380,Шаров Ринат,182.0,116.0,36,м,программист,383000
3381,Кабанов Радик,170.0,116.0,75,м,продавец,158000
3382,Пестов Радомир,167.0,89.0,32,м,сантехник,352000
3383,Мамонтов Аполлон,171.0,112.0,19,м,автослесарь,217000
3384,Белозёров Прохор,191.0,101.0,20,м,бухгалтер,482000
3385,Афанасьев Вячеслав,178.0,58.0,41,м,преподаватель,107000
3386,Дементьев Вадим,181.0,63.0,65,м,автослесарь,419000
3387,Русаков Емельян,187.0,113.0,77,м,продавец,144000
3388,Ефимов Валентин,183.0,78.0,28,м,бухгалтер,46000
3389,Федосеев Владимир,171.0,99.0,19,м,врач,240000
3390,Поляков Герасим,178.0,81.0,37,м,программист,91000
3391,Носов Радий,174.0,92.0,63,м,автослесарь,428000
3392,Киселёв Демид,185.0,67.0,33,м,бухгалтер,320000
3393,Гущин Павел,187.0,71.0,38,м,преподаватель,433000
3394,Артемьев Данислав,186.0,91.0,49,м,продавец,359000
3395,Семёнов Яромир,176.0,71.0,47,м,сантехник,41000
3396,Кононов Алексей,184.0,104.0,39,м,бухгалтер,98000
3397,Зайцев Фаддей,172.0,76.0,77,м,автослесарь,393000
3398,Васильев Феликс,174.0,85.0,23,м,продавец,354000
3399,Макаров Климент,191.0,71.0,56,м,программист,468000
3400,Емельянов Назар,183.0,79.0,52,м,врач,402000
3401,Шашков Платон,186.0,80.0,56,м,программист,129000
3402,Артемьев Лукьян,187.0,66.0,32,м,инженер,431000
3403,Жуков Александр,192.0,98.0,26,м,сантехник,63000
3404,Борисов Геннадий,192.0,116.0,70,м,сантехник,364000
3405,Марков Антоний,,80.0,43,м,сантехник,274000
3406,Пахомов Казимир,,102.0,29,м,бухгалтер,227000
3407,Гришин Захар,179.0,54.0,83,м,бухгалтер,192000
3408,Самойлов Никанор,167.0,102.0,63,м,инженер,428000
3409,Беляков Виктор,191.0,90.0,89,м,бухгалтер,389000
3410,Хохлов Андрей,178.0,98.0,39,м,врач,336000
3411,Фадеев Станислав,178.0,,32,м,инженер,89000
3412,Зайцев Святослав,181.0,84.0,20,м,сантехник,58000
3413,Рогов Радик,186.0,69.0,50,м,автослесарь,139000
3414,Киселёв Казимир,172.0,68.0,65,м,сантехник,470000
3415,Цветков Фаддей,175.0,52.0,21,м,бухгалтер,220000
3416,Копылов Богдан,175.0,84.0,43,м,автослесарь,340000
3417,Ковалёв Давыд,168.0,54.0,43,м,инженер,28000
3418,Кириллов Терентий,166.0,59.0,42,м,автослесарь,193000
3419,Гришин Флор,191.0,85.0,27,м,студент,239000
3420,Никитин Георгий,175.0,116.0,22,м,автослесарь,338000
3421,Орехов Арсений,183.0,89.0,62,м,инженер,335000
3422,Беляков Степан,173.0,67.0,22,м,инженер,41000
3423,Наумов Марат,179.0,66.0,23,м,продавец,32000
3424,Артемьев Артемий,189.0,96.0,48,м,автослесарь,152000
3425,Ильин Ринат,173.0,83.0,25,м,сантехник,19000
3426,Стрелков Егор,190.0,86.0,31,м,автослесарь,362000
3427,Фадеев Мирослав,181.0,78.0,61,м,преподаватель,352000
3428,Фокин Анисий,169.0,76.0,61,м,врач,61000
3429,Игнатьев Фаддей,190.0,111.0,38,м,студент,326000
3430,Евсеев Трофим,165.0,51.0,64,м,бухгалтер,448000
3431,Беляков Виктор,190.0,80.0,46,м,преподаватель,437000
